	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000041670	66813.1500793221	-0.100239645583034	0.113231095624182	-0.885266057265163	0.376013152175854	0.882318610999538
ENSMUSG00000060519	89.5822114734405	0.158697612129234	0.187224405326253	0.847633148321082	0.396642307569475	0.893942445997844
ENSMUSG00000041577	3.11755236434521	1.243855096051	0.990233865609207	1.2561225577614	0.209071538698867	NA
ENSMUSG00000026275	744.305132096495	-0.127588539966225	0.0730378372734074	-1.74688277650685	0.0806576740314042	0.634397385183402
ENSMUSG00000026048	1007.71788845808	0.117731317137391	0.0713272879623118	1.65057890886862	0.0988245884621427	0.669564233988763
ENSMUSG00000062729	164.150868122142	0.0386218553040073	0.189760893866187	0.203529054470212	0.838721538710961	0.980954995969487
ENSMUSG00000025917	597.379521141552	0.0474181725162148	0.0742172234271619	0.638910623795457	0.52288107638325	0.929736923245905
ENSMUSG00000040124	275.112300192902	-0.130881592736587	0.0910121769119491	-1.43806682992771	0.150415093042096	0.744270591544176
ENSMUSG00000026034	2984.09957632477	0.0272072686411612	0.0922750915095099	0.294849543859376	0.768108817373829	0.973981627101295
ENSMUSG00000025905	163.433777350097	-0.176742793585545	0.171180377127132	-1.0324944748444	0.301840534640428	0.852376704368668
ENSMUSG00000042046	1497.42117545943	0.0378811073592932	0.0527439011354296	0.718208296008035	0.472628863489279	0.912864300051108
ENSMUSG00000026479	455.248948007347	0.18668246678299	0.0986484034809606	1.8924023115997	0.0584373982811597	0.559250569752449
ENSMUSG00000090498	219.339136420976	-0.0475097191161418	0.111024124437594	-0.427922484025952	0.668707556953797	0.96179872643342
ENSMUSG00000026683	3.17328960024383	-0.636257869047011	0.777964865229989	-0.817849105382046	0.413443354515095	NA
ENSMUSG00000050229	281.639411643004	0.0199576351143291	0.0929232918275236	0.214775377860836	0.829942450545526	0.979450281796075
ENSMUSG00000040848	86.6419189578548	-0.0629363919754532	0.157737677220779	-0.398994032905427	0.689897601031764	0.965396116724382
ENSMUSG00000026608	1475.79765306828	0.0286691086731776	0.0639195215259286	0.448518824746648	0.653778803422975	0.960536222685028
ENSMUSG00000050534	13.5626876163024	-0.154964542486427	0.39490842728303	-0.392406268847143	0.694758054867195	0.96636852094034
ENSMUSG00000025982	5087.75600896628	-0.00654386748835747	0.0758740012718765	-0.0862465057682812	0.931270462150767	0.992102766560302
