SRR1930037	SRR1930038	SRR1930039	SRR1930034	SRR1930035	SRR1930036
ENSMUSG00000000001.4	736	594	614	572	641	619
ENSMUSG00000000003.15	0	0	0	0	0	0
ENSMUSG00000000028.15	59.0520109804286	33.1463511938088	47.5799763816703	42.3060208379351	65.4609456557691	43.9374326553909
ENSMUSG00000000037.16	66	52	51	46	35	40
ENSMUSG00000000049.11	3	1	2	2	1	2
ENSMUSG00000000056.7	1446	1215	1337.63444362787	1146.63992017603	1320	1467.68964282564
ENSMUSG00000000058.6	569	436	490	432	571	520
ENSMUSG00000000078.7	1932	1320	1548	1489	1125	1299
ENSMUSG00000000085.16	688.044539209157	634.741743460604	728.81650100484	535.424726809051	692.595379216853	605.716970208293
ENSMUSG00000000088.7	566.552350807099	466.472236510638	444.017041827604	356.178659021313	472.61471963672	483.313546808114
ENSMUSG00000000093.6	23	14	19	16	26	25
ENSMUSG00000000094.12	3	3.00118868487716	4.00135300702855	5.00189330947843	1.00064997482208	1.00034069955884
ENSMUSG00000000103.12	0	0	0	0	0	0
ENSMUSG00000000120.6	16.0084523215641	19.3027105896595	21.2796228410576	21.2337970798113	22.5052545853461	18.8575298939132
ENSMUSG00000000125.5	38	52	42	26	56	44
ENSMUSG00000000126.11	259	264	262	170	211	160
ENSMUSG00000000127.15	878	805	777	667	800	795
ENSMUSG00000000131.15	2344.43686143141	2077.34699170385	2015.76996577653	1985.54110884307	2078.18766038823	2023.73487378224
ENSMUSG00000000134.17	601	615	554	493	559.322342294149	523.415113788982
ENSMUSG00000000142.15	753	752	665	698	612	676
ENSMUSG00000000148.17	461	406	402	424	359	383
ENSMUSG00000000149.10	1453.63143736654	1221.27304719894	1135.35876365161	1307.97521431301	1257.07540927546	1338.45840428263
ENSMUSG00000000154.16	4	1	3	4	2	0
ENSMUSG00000000157.16	3	0	0	0	0	0
ENSMUSG00000000159.16	7	1	3.5039204803643	1	5.41077936944694	4
ENSMUSG00000000167.14	35.0968657569579	31.1271576784679	34.2051582872193	31.0643370331324	28.157908627861	30.0045702759996
ENSMUSG00000000168.9	2865	2399	2577	2204	2263	2521
ENSMUSG00000000171.5	1012	735	845	767	682	730
ENSMUSG00000000182.9	4	10	12	8	5	2
ENSMUSG00000000183.6	1.03799431972171	0	8.03503700256856	5.01783659973047	5.04432289999516	4.05587952418457
ENSMUSG00000000184.12	748.553752643622	1091	1015	583	1231	809
ENSMUSG00000000194.13	1324.04921532272	1009.14618356668	1127.09914381853	1120.02382194368	976.610401765589	1077.18648650916
ENSMUSG00000000197.8	4101.64478075468	3439.03700484143	3707.06298029165	3127.16926866332	3379.94643225685	3528.73058118335
ENSMUSG00000000202.9	264	181	150	195	157	157
ENSMUSG00000000204.16	4.03917925265108	5.70501140029309	5.53959633708862	3.27566470374296	3.017394074901	1.00464091741749
ENSMUSG00000000214.11	15	8	6	8	6	9
ENSMUSG00000000215.11	0	0	0	0	0	0
ENSMUSG00000000216.8	12	3	5	12	9	11
ENSMUSG00000000223.13	2570.90076873699	2257.5982034755	2441.13062938849	2250.33080933661	2437.00137541017	2434.83810860124
ENSMUSG00000000244.17	13.1879184686273	17.1852884829053	13.4552166156431	13.3684196413977	3.32479066351723	15.0273632636699
ENSMUSG00000000247.11	927	730	698	847	801	789
ENSMUSG00000000248.16	2.0594531666399	6.69246534262726	4.12277985443524	1.0112531294809	7.94567892220146	1.25809054622235
ENSMUSG00000000253.13	412.175397227	385.821547924457	376.247251287479	334.557249850786	369.59875356834	390.960511695727
ENSMUSG00000000263.15	3	4	3	4	1	2
ENSMUSG00000000266.11	765.09518044273	723.025534594841	778.291364718494	659.891751474007	857.671754245182	828.275818597823
ENSMUSG00000000275.16	60.428886151074	54.6886338770314	48.6774046507639	39.0336125155422	58.9434030759094	56.7018985259621
ENSMUSG00000000276.11	2757.42476373629	2220.23107642846	2597.08934999314	2137.23949923264	2459.85167937883	2337.31371402602
ENSMUSG00000000278.10	244	221	228	234	231	225
ENSMUSG00000000282.12	460	544	539	460	648	618
